那		Nuo2	Na		họ [Nuo2]			60	pn,mt
三		San1	Tam		họ [San1]			59	pn,mt
上		shang3	thướng		dùng trong 上聲|上声[shang3 sheng1]			57	usedin,mt
吗	嗎	ma3	ma		dùng trong 嗎啡|吗啡[ma3 fei1]			57	usedin,mt
东西	東西	dong1 xi1	đông tây		đông và tây			56	mt
国	國	Guo2	Quốc		họ [Guo2]			56	pn,mt
个	個	ge3	cá		dùng trong 自個兒|自个儿[zi4 ge3 r5]			56	usedin,mt
一下		yi1 xia4	nhất hạ		(dùng sau động từ) thử xem/làm (gì đó một chút để thử)/một lần/một lúc/thỉnh thoảng/đột nhiên/tất cả cùng lúc			55	mt
大		dai4	đại		xem 大夫[dai4 fu5]			54	usedin,mt
马	馬	Ma3	Mã		họ [Ma3]/viết tắt của Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]			54	pn,mt
回	迴	hui2	hồi		cong/quay lại/xoay vòng			54	mt
路		Lu4	Lộ		họ [Lu4]			54	pn,mt
听		yin3	dẫn		cười (cổ đại)			53	mt
书	書	Shu1	Thư		viết tắt của 書經|书经[Shu1 jing1]			53	pn,mt
回		Hui2	Hồi			Hui ethnic group (Chinese Muslims)		53	pn,en
干		gan1	can		(dạng kết hợp) liên quan đến; quan tâm đến/một trong mười thiên can 天干[tian1 gan1]/(cổ) cái khiên			53	mt
干	乾	Gan1	Can		họ [Gan1]			53	pn,mt
干		Gan1	Can		họ [Gan1]			53	pn,mt
水		Shui3	Thuỷ		họ [Shui3]			53	pn,mt
跑		pao2	bào		(động vật) cào (mặt đất)			52	mt
家	傢	jia1	gia		dùng trong 傢伙|家伙[jia1 huo5] và 傢俱|家俱[jia1 ju4]			51	usedin,mt
东	東	Dong1	Đông		họ [Dong1]			51	pn,mt
西		Xi1	Tây		phương Tây/viết tắt của Tây Ban Nha 西班牙[Xi1 ban1 ya2]/tiếng Tây Ban Nha			51	pn,mt
读	讀	dou4	đậu		dấu phẩy/cụm từ được ngắt bởi quãng dừng			51	mt
一家		yi1 jia1	nhất gia		cả gia đình/cùng một gia đình/gia đình ... (khi đứng trước là họ)/nhóm			50	mt
南		Nan2	Nam		họ [Nan2]			50	pn,mt
云		yun2	vân		(văn cổ) nói			50	mt
案		an4	án		(pháp lý) vụ việc/sự cố/hồ sơ/tài liệu/bàn			50	mt
云	雲	Yun2	Vân		họ [Yun2]/viết tắt của tỉnh Vân Nam 雲南省|云南省[Yun2 nan2 Sheng3]			50	pn,mt
言		yan2	ngôn		từ/ngôn từ/nói/trò chuyện			50	mt
山		Shan1	Sơn		họ [Shan1]			49	pn,mt
嘛		ma2	ma		dùng trong 唵嘛呢叭咪吽[an3 ma2 ni2 ba1 mi1 hong1]/(Đài Loan) (thông tục) gì?			49	mt
安		An1	An		họ [An1]			49	pn,mt
白		Bai2	Bạch		họ [Bai2]			49	pn,mt
球	毬	qiu2	cầu			ball used for playing games (variant of 球[qiu2])		48	en,nostroke
义	義	yi4	nghĩa		công lý/chính nghĩa/ý nghĩa/nuôi dưỡng (cha, v.v.)/nhận nuôi/nhân tạo (răng, chi, v.v.)/mối quan hệ/tình bạn			48	mt
儿	兒	r5	nhi		hậu tố giảm nhẹ không thành âm/ngữ âm uốn lưỡi			48	mt
海		Hai3	Hải		họ [Hai3]			48	pn,mt
班		Ban1	Ban		họ [Ban1]			48	pn,mt
左		Zuo3	Tả		họ [Zuo3]			48	pn,mt
意		yi4	ý		ý tưởng/ý nghĩa/suy nghĩ/nghĩ/mong muốn/khao khát/dự định/mong đợi/dự kiến			48	mt
义	義	Yi4	Nghĩa		họ [Yi4]/(Đài Loan) viết tắt của 義大利|义大利[Yi4da4li4], Ý			48	pn,mt
乐	樂	Le4	Lạc		họ [Le4]			47	pn,mt
平		Ping2	Bình		họ [Ping2]			47	pn,mt
喝		he4	hét		hô			47	mt
你好		ni3 hao3	nễ hảo		xin chào/chào			47	mt
贵	貴	Gui4	Quý			short name for Guizhou 貴州|贵州[Gui4 zhou1]		46	pn,en
行		heng2	hạnh		dùng trong 道行[dao4 heng2]			46	usedin
儿	兒	er2	nhi		đứa trẻ/con trai			46	mt
烟	菸	yan1	yên			tobacco (variant of 煙|烟[yan1])		46	en
南		na1	nam		dùng trong 南無|南无[na1 mo2]/phiên âm Đài Loan [na2]			46	usedin
谢	謝	xie4	tạ		cảm ơn/xin lỗi/(hoa, lá, v.v.) tàn/lụi tàn			46	mt
乐	樂	yue4	nhạc		âm nhạc			45	mt
呆	獃	dai1	ngai	ngốc		foolish; stupid (variant of 呆[dai1])/expressionless; blank (variant of 呆[dai1])		45	en,nostroke
步		Bu4	Bộ		họ [Bu4]			45	pn,mt
嗯		en1	ân		(âm thanh rên rỉ)			45	mt
嗯		en4	ân		(tiếng hừ không lời như thán từ)/OK, ừ/hả?			45	mt
嗯		en5	ân		thán từ biểu thị sự tán thành, đánh giá cao hoặc đồng ý			45	mt
谢	謝	Xie4	Tạ		họ [Xie4]			45	pn,mt
雨		yu4	vũ		(văn học) mưa/(mưa, tuyết, v.v.) rơi/rơi xuống/làm ướt			45	mt
乐	樂	Yue4	Nhạc		họ [Yue4]			45	pn,mt
六		lu4	lục		dùng trong place names			45	usedin
百		Bai3	Bách		họ [Bai3]			44	pn,mt
节	節	jie1	tiết		xem 節骨眼|节骨眼[jie1 gu5 yan3]			44	usedin,mt
俺		an3	yêm		tôi (phương ngữ miền Bắc)			44	mt
暗	闇	an4	ám		(văn học) đóng (cửa)/che khuất/mơ hồ; không biết (biến thể của 暗[an4])/tối (biến thể của 暗[an4])			44	mt,nostroke
