# Word-level Hán Việt corrections: readings pinyin does not predict, casing, and phonetic loanwords
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Derived from CC-CEDICT (https://cc-cedict.org, CC BY-SA 4.0) and CVDICT (Vietnamese translation of CC-CEDICT, CC BY-SA 4.0).
# Drafted by Claude (AI), 2026-09. status "ai-draft" = AI-drafted, awaiting human review ("hiệu đính bởi AI, chờ duyệt");
# "reviewed" = checked by the project owner ("đã hiệu đính") — only the owner sets it. Changes: CHANGELOG.md.
# Format: UTF-8 (NFC), LF, tab-separated. Lines starting with "#" are comments.
# Only words whose algorithmic Hán Việt reading was corrected; hanviet "-" = loanword, no Hán Việt reading.
# Character readings (a vernacular form listed first, 讀 đọc → độc) belong in hanviet-char.tsv: fix a character there, not word by word.
# A reading may list searchable alternates after "|". A capital the curator writes is kept (Hán ngữ).
# 228 rows: 18 conventional readings, 18 casing and set readings, 192 phonetic loanwords (hv "-"; reviewed from the CC-CEDICT "(loanword)" rows: the HSK ones and every multi-character one with pop ≥ 28).
key	hanviet	reason	source	status
教|教[jiao1]	giáo	nghĩa "dạy" đọc là giáo (giáo viên, giáo dục); âm giao chỉ dùng cho nghĩa cổ "khiến, sai khiến" (Thiều Chửu)	claude-2026-09	ai-draft
〇|〇[ling2]	linh	đang thiếu âm; 〇 là cách viết số không, đọc như 零 (linh)	claude-2026-09	ai-draft
小姐|小姐[xiao3 jie5]	tiểu thư	小姐 quen đọc là tiểu thư (姐 âm thư); tiểu tỷ không dùng cho từ này	claude-2026-09	ai-draft
不好意思|不好意思[bu4 hao3 yi4 si5]	bất hảo ý tứ	思 trong 意思 đọc tứ; thống nhất với 意思 ý tứ, 有意思 hữu ý tứ	claude-2026-09	ai-draft
答應|答应[da1 ying5]	đáp ứng	應 nghĩa đáp lại đọc ứng (yìng); ưng là âm của 應 nghĩa nên, đáng (yīng); từ Hán Việt quen dùng là đáp ứng	claude-2026-09	ai-draft
好處|好处[hao3 chu5]	hảo xứ	處 ở đây là danh từ (chù: chỗ, điểm), đọc xứ; xử là âm của nghĩa động từ chǔ (xử lý); thống nhất với 坏处 hoại xứ	claude-2026-09	ai-draft
經過|经过[jing1 guo4]	kinh qua	từ Hán Việt đã định hình trong tiếng Việt là "kinh qua" (trải qua), 過 đọc bình thanh qua; "kinh quá" là đọc máy móc theo âm quá của guò; thống nhất với 通過 thông qua	claude-2026-09	ai-draft
便宜|便宜[pian2 yi5]	biền nghi	便 đọc pián (便宜 giá rẻ, 便便) có âm Hán Việt là biền; tiện là âm của biàn (方便 phương tiện, 随便 tuỳ tiện). "Tiện nghi" là từ Hán Việt của 便宜 biànyí (thuận tiện), khác từ	claude-2026-09	ai-draft
通過|通过[tong1 guo4]	thông qua	từ Hán Việt đã định hình trong tiếng Việt là "thông qua" (Quốc hội thông qua luật; thông qua bạn bè), 過 đọc bình thanh qua; "thông quá" là đọc máy móc theo âm quá của guò, không ai dùng	claude-2026-09	ai-draft
一部分|一部分[yi1 bu4 fen5]	nhất bộ phận	分 đọc fèn (phần, bộ phận) là phận; từ Hán Việt quen dùng là bộ phận (部分), thống nhất với 部分 bộ phận, 大部分 đại bộ phận	claude-2026-09	ai-draft
意思|意思[yi4 si5]	ý tứ	思 nghĩa ý nghĩ, tâm tư (danh từ) đọc tứ; từ Hán Việt quen dùng là ý tứ (như văn tứ 文思)	claude-2026-09	ai-draft
有意思|有意思[you3 yi4 si5]	hữu ý tứ	思 trong 意思 đọc tứ; từ Hán Việt quen dùng là ý tứ, thống nhất với 意思 ý tứ	claude-2026-09	ai-draft
調查|调查[diao4 cha2]	điều tra	âm quen dùng của 調 trong từ này là điều (điều tra, điều hoà); điệu là âm theo pinyin diào	claude-2026-09	ai-draft
