# Vietnamese glosses for HSK 1–2 words, and for the few HSK and frequent entries that had no Vietnamese (Chinese notebook dictionary)
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Derived from CC-CEDICT (https://cc-cedict.org, CC BY-SA 4.0) and CVDICT (Vietnamese translation of CC-CEDICT, CC BY-SA 4.0).
# Drafted by Claude (AI), 2026-09. status "ai-draft" = AI-drafted, awaiting human review ("hiệu đính bởi AI, chờ duyệt");
# "reviewed" = checked by the project owner ("đã hiệu đính") — only the owner sets it. Changes: CHANGELOG.md.
# Format: UTF-8 (NFC), LF, tab-separated. Lines starting with "#" are comments.
# vi: senses separated by "/", near-synonyms inside a sense by "; ", examples as "(vd. 汉字: nghĩa)", classifiers as last sense "Lượng từ: 个 (gè)".
# 1291 keys (CC-CEDICT key "trad|simp[pinyin]"). A gloss keyed to a form the HSK list names that is now only a variant (複習) follows the tag to the main form (復習); key it to the main form when you can.
key	vi	source	status
愛|爱[ai4]	yêu; thương/thích; mê (làm việc gì)/tình yêu; tình cảm/hay; dễ (xảy ra việc gì, vd. 爱哭: hay khóc)	claude-2026-09	ai-draft
愛好|爱好[ai4 hao4]	sở thích/thích; yêu thích; ham mê (việc gì)/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
八|八[ba1]	tám (8)	claude-2026-09	ai-draft
爸爸|爸爸[ba4 ba5]	bố; ba; cha/Lượng từ: 位 (wèi)	claude-2026-09	ai-draft
爸|爸[ba4]	bố; ba; cha	claude-2026-09	ai-draft
吧|吧[ba5]	(trợ từ cuối câu, biểu thị đề nghị, rủ rê, nhờ vả nhẹ nhàng) nhé; đi; thôi; được chứ (vd. 我们走吧: chúng ta đi thôi)/(trợ từ cuối câu, biểu thị phỏng đoán, muốn người nghe xác nhận) … phải không?; chắc là … (vd. 你是学生吧: bạn là học sinh phải không?)	claude-2026-09	ai-draft
白|白[bai2]	trắng; màu trắng/uổng; phí công (vd. 白跑一趟: đi một chuyến uổng công)/không mất tiền; miễn phí (vd. 白给: cho không)/trơn; không thêm gì (vd. 白开水: nước lọc; 白饭: cơm trắng)	claude-2026-09	ai-draft
白天|白天[bai2 tian1]	ban ngày/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
百|百[bai3]	trăm; một trăm (100)/(trong từ ghép) nhiều; mọi; đủ loại (vd. 百货: bách hoá)	claude-2026-09	ai-draft
班|班[ban1]	lớp (học); nhóm; tổ/ca (làm việc)/(lượng từ) chuyến; tốp: dùng cho xe, tàu, máy bay chạy theo giờ hoặc nhóm người (vd. 下一班车: chuyến xe sau)/(quân sự) tiểu đội/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
半|半[ban4]	nửa; một nửa/rưỡi (sau số đếm, vd. 两点半: hai giờ rưỡi)/bán-; nửa chừng; không trọn vẹn	claude-2026-09	ai-draft
半年|半年[ban4 nian2]	nửa năm; sáu tháng	claude-2026-09	ai-draft
半天|半天[ban4 tian1]	nửa ngày/một lúc lâu; mãi; hồi lâu/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
幫|帮[bang1]	giúp; giúp đỡ/giùm; hộ (làm việc gì cho ai)/nhóm; đám; bọn (người)/băng nhóm; bang hội; phe	claude-2026-09	ai-draft
幫忙|帮忙[bang1 mang2]	giúp; giúp đỡ; giúp một tay; làm giúp	claude-2026-09	ai-draft
包|包[bao1]	túi; túi xách; cặp/gói; bọc; quấn/(lượng từ) gói; bao: dùng cho đồ được đóng gói (vd. 一包烟: một bao thuốc lá)/bao gồm; chứa/lo trọn; bao (hết); nhận khoán (việc gì)/Lượng từ: 个 (gè), 只 (zhī)	claude-2026-09	ai-draft
包子|包子[bao1 zi5]	bánh bao/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
杯|杯[bei1]	(lượng từ) cốc; ly; chén: dùng cho đồ uống (vd. 一杯茶: một cốc trà)/cốc; ly; chén/cúp (giải thưởng)	claude-2026-09	ai-draft
杯子|杯子[bei1 zi5]	cốc; ly; chén/Lượng từ: 个 (gè), 只 (zhī)	claude-2026-09	ai-draft
北|北[bei3]	bắc; phía bắc; phương bắc	claude-2026-09	ai-draft
北邊|北边[bei3 bian1]	phía bắc; bên phía bắc; phần phía bắc	claude-2026-09	ai-draft
北京|北京[Bei3 jing1]	Bắc Kinh (thủ đô nước Cộng hoà Nhân dân Trung Hoa)	claude-2026-09	ai-draft
本|本[ben3]	(lượng từ) quyển; cuốn: dùng cho sách, vở, tạp chí, tài liệu/gốc; rễ; nguồn gốc/vốn; tiền vốn/vốn dĩ; vốn có; lúc đầu/(đặt trước danh từ) … này; của mình (vd. 本人: bản thân tôi; 本月: tháng này)	claude-2026-09	ai-draft
本子|本子[ben3 zi5]	vở; quyển vở; sổ (ghi chép)/sách/bản; ấn bản/Lượng từ: 本 (běn)	claude-2026-09	ai-draft
比|比[bi3]	(giới từ so sánh, mẫu A 比 B + tính từ: A … hơn B) hơn (vd. 他比我高: anh ấy cao hơn tôi)/so; so sánh/tỷ số; tỷ lệ (vd. 三比二: ba – hai)/ra hiệu; khoa tay	claude-2026-09	ai-draft
別|别[bie2]	đừng; chớ (khuyên, cấm ai làm gì)/khác (vd. 别人: người khác)/chia tay; từ biệt; rời xa/ghim; cài; kẹp (bằng ghim, kẹp)	claude-2026-09	ai-draft
別的|别的[bie2 de5]	khác; cái khác; thứ khác	claude-2026-09	ai-draft
